DWDS Article,Misspelling,Category,Comment
gefleckt,geflekt,ambisyllabic_k,
Teller,Teler,ambisyllabic_l,
kämmen,kämen,ambisyllabic_m,
abonnieren,abonieren,ambisyllabic_n_not_b,
abonnieren,abbonnieren,ambisyllabic_n_not_b,
abonnieren,abbonieren,ambisyllabic_n_not_b,
Applaus,Aplaus,ambisyllabic_p,
konkurrieren,konkurieren,ambisyllabic_r,
Assistent,Asisstent,ambisyllabic_s_once,
Assistent,Assisstent,ambisyllabic_s_once,
Attacke,Atacke,ambisyllabic_t,
attestieren,atestieren,ambisyllabic_t,
enttäuschen,entäuschen,degemination,
Entzündung,Enzündung,degemination,
Schirmmütze,Schirmütze,degemination,
Thermoskanne,Termoskanne,GPK_th_for_t,
Zunge,Tsunge,GPK_z_for_ts,
fort,vort,GPK_v_for_f_overgeneralized,
Stuhl,Schtuhl,GPK_st_for_scht,
beißen,beissen,GPK_ß_versus_ss_for_s,correct spelling is shown in suggestions
Kamera,Camera,GPK_k_versus_c_for_k,
Chaos,Kaos,GPK_ch_for_k,
Lachs,Lax,GPK_chs_versus_x_for_ks,
Mond,Mont,final_devoicing_d,
Umweltstandard,Umweltstandart,final_devoicing_d,
seit,seid,final_devoicing_d_overgeneralized,
Trog,Trok,final_devoicing_g,
Unfug,Unfuk,final_devoicing_g,
schubsen,schupsen,final_devoicing_b,
wahrscheinlich,warscheinlich,missing_h,
gefährlich,gefärlich,missing_h,
Sohn,Son,missing_h,
nämlich,nähmlich,added_h,
Gral,Grahl,added_h,
Biene,Bine,vowel_length_i,
Hierarchie,Hirarchie,vowel_length_i,
Prise,Priese,vowel_length_i_overgeneralized,
ausleeren,auslehren,vowel_length_e,
Phänomen,Phenomen,mix-up_e_ä,
Phänomen,Phänomän,mix-up_e_ä,
Phänomen,Phenomän,mix-up_e_ä,
gewähren,gewehren,mix-up_e_ä,
aber,aba,mix-up_er_a,
gestern,gestan,mix-up_er_a,
runterfallen,ronterfallen,mix-up_u_o,
Honig,Hönig,umlaut,correct spelling is shown in suggestions
müssen,mussen,umlaut,correct spelling is shown in suggestions
Bewandtnis,Bewandnis,mix-up_wandt_wand,
hässlich,hässlig,mix-up_ich_ig,
lustig,lustich,mix-up_ich_ig,
Botschafter,Botschaftler,mix-up_er_ler,
ebenfalls,ebemfalls,nasal_assimilation,
sanft,samft,nasal_assimilation,
Wohnzimmer,Wohenzimmer,added_vowel,
Pflaster,Flaster,missing_p_before_f,
Impfung,Imfung,missing_p_before_f,
amtieren,amptieren,plosive_insertion,
Entgelt,Endgeld,misinterpretation,
Abenteuer,Abendteuer,misinterpretation,
sanft,sampft,combination,
vorgestern,forgestan,combination,
Führerschein,Füreschein,combination,
runterfallen,ronterfalen,combination,
Fahrradschloss,Farradschluss,combination,
Konkurrenz,Konkorenz,combination,
Hierarchie,Hirachie,combination,
